time_stamp	sensor_type	NIS	
1477010462950000	radar	1.49075	
1477010463050000	radar	1.33735	
1477010463150000	radar	1.26238	
1477010463250000	radar	9.15372	
1477010463350000	radar	7.54686	
1477010463450000	radar	0.0166573	
1477010463550000	radar	1.05191	
1477010463650000	radar	2.39086	
1477010463750000	radar	1.8853	
1477010463850000	radar	0.749428	
1477010463950000	radar	0.284553	
1477010464050000	radar	9.20626	
1477010464150000	radar	2.11591	
1477010464250000	radar	0.909089	
1477010464350000	radar	2.23916	
1477010464450000	radar	4.60715	
1477010464550000	radar	1.48562	
1477010464650000	radar	4.73298	
1477010464750000	radar	1.86895	
1477010464850000	radar	4.03181	
1477010464950000	radar	8.10476	
1477010465050000	radar	1.419	
1477010465150000	radar	6.12525	
1477010465250000	radar	4.5449	
1477010465350000	radar	1.61339	
1477010465450000	radar	1.42139	
1477010465550000	radar	3.93487	
1477010465650000	radar	1.77439	
1477010465750000	radar	7.44044	
1477010465850000	radar	3.48825	
1477010465950000	radar	0.534689	
1477010466050000	radar	0.346671	
1477010466150000	radar	0.872553	
1477010466250000	radar	0.666365	
1477010466350000	radar	7.7172	
1477010466450000	radar	7.15096	
1477010466550000	radar	0.614492	
1477010466650000	radar	3.32427	
1477010466750000	radar	0.242444	
1477010466850000	radar	2.06353	
1477010466950000	radar	0.535036	
1477010467050000	radar	1.86605	
1477010467150000	radar	8.57308	
1477010467250000	radar	0.357796	
1477010467350000	radar	6.93071	
1477010467450000	radar	4.14313	
1477010467550000	radar	1.82834	
1477010467650000	radar	3.79457	
1477010467750000	radar	2.28342	
1477010467850000	radar	1.54491	
1477010467950000	radar	3.56207	
