time_stamp	sensor_type	NIS	
1477010461700000	lidar	3.14477	
1477010461800000	lidar	0.275774	
1477010461900000	lidar	0.644228	
1477010462000000	lidar	0.825809	
1477010462100000	lidar	0.296484	
1477010462200000	lidar	1.63745	
1477010462300000	lidar	2.60578	
1477010462400000	lidar	0.303142	
1477010462500000	lidar	7.5901	
1477010462600000	lidar	1.33035	
1477010462700000	lidar	1.15231	
1477010462800000	lidar	0.118287	
1477010462900000	lidar	0.45189	
1477010463000000	lidar	2.48335	
1477010463100000	lidar	1.85414	
1477010463200000	lidar	2.88113	
1477010463300000	lidar	0.259561	
1477010463400000	lidar	0.264871	
1477010463500000	lidar	0.77334	
1477010463600000	lidar	0.09195	
1477010463700000	lidar	1.61387	
1477010463800000	lidar	0.142551	
1477010463900000	lidar	3.30524	
1477010464000000	lidar	2.58554	
1477010464100000	lidar	0.280988	
1477010464200000	lidar	1.18915	
1477010464300000	lidar	1.27316	
1477010464400000	lidar	0.0589657	
1477010464500000	lidar	0.398718	
1477010464600000	lidar	3.53116	
1477010464700000	lidar	0.616298	
1477010464800000	lidar	0.940668	
1477010464900000	lidar	1.98595	
1477010465000000	lidar	0.153836	
1477010465100000	lidar	3.11357	
1477010465200000	lidar	5.54885	
1477010465300000	lidar	1.63883	
1477010465400000	lidar	0.988989	
1477010465500000	lidar	0.0772772	
1477010465600000	lidar	4.37799	
1477010465700000	lidar	1.03585	
1477010465800000	lidar	3.67202	
1477010465900000	lidar	1.78405	
1477010466000000	lidar	2.262	
1477010466100000	lidar	1.08257	
1477010466200000	lidar	0.616959	
1477010466300000	lidar	1.42623	
1477010466400000	lidar	0.281037	
1477010466500000	lidar	2.47278	
1477010466600000	lidar	8.00744	
1477010466700000	lidar	0.660167	
1477010466800000	lidar	3.24487	
1477010466900000	lidar	1.76187	
1477010467000000	lidar	2.04317	
1477010467100000	lidar	0.187145	
1477010467200000	lidar	4.92899	
1477010467300000	lidar	0.44773	
1477010467400000	lidar	1.97761	
1477010467500000	lidar	0.280725	
1477010467600000	lidar	0.288713	
1477010467700000	lidar	7.64334	
1477010467800000	lidar	4.30972	
1477010467900000	lidar	0.414078	
