time_stamp	sensor_type	NIS	
1477010452650000	radar	7.03558	
1477010452700000	lidar	2.59724	
1477010452750000	radar	3.37183	
1477010452800000	lidar	1.19287	
1477010452850000	radar	2.4813	
1477010452900000	lidar	6.0379	
1477010452950000	radar	3.30204	
1477010453000000	lidar	0.115682	
1477010453050000	radar	1.98033	
1477010453100000	lidar	0.501528	
1477010453150000	radar	5.06564	
1477010453200000	lidar	2.34259	
1477010453250000	radar	1.09074	
1477010453300000	lidar	1.80997	
1477010453350000	radar	2.08442	
1477010453400000	lidar	1.02722	
1477010453450000	radar	0.960614	
1477010453500000	lidar	2.99788	
1477010453550000	radar	2.23793	
1477010453600000	lidar	0.338716	
1477010453650000	radar	1.82767	
1477010453700000	lidar	1.19572	
1477010453750000	radar	3.61435	
1477010453800000	lidar	3.14073	
1477010453850000	radar	1.21984	
1477010453900000	lidar	1.91163	
1477010453950000	radar	0.897028	
1477010454000000	lidar	2.82974	
1477010454050000	radar	3.66197	
1477010454100000	lidar	0.439331	
1477010454150000	radar	3.84398	
1477010454200000	lidar	0.481791	
1477010454250000	radar	2.85313	
1477010454300000	lidar	4.27526	
1477010454350000	radar	2.96933	
1477010454400000	lidar	2.26344	
1477010454450000	radar	1.3436	
1477010454500000	lidar	1.0946	
1477010454550000	radar	1.69509	
1477010454600000	lidar	1.73045	
1477010454650000	radar	0.421406	
1477010454700000	lidar	0.69437	
1477010454750000	radar	2.65362	
1477010454800000	lidar	4.44815	
1477010454850000	radar	1.63741	
1477010454900000	lidar	0.242315	
1477010454950000	radar	3.04651	
1477010455000000	lidar	0.59702	
1477010455050000	radar	5.33749	
1477010455100000	lidar	0.743746	
1477010455150000	radar	5.76435	
1477010455200000	lidar	0.457138	
1477010455250000	radar	1.55993	
1477010455300000	lidar	2.46082	
1477010455350000	radar	4.29347	
1477010455400000	lidar	0.520002	
1477010455450000	radar	3.12652	
1477010455500000	lidar	1.6039	
1477010455550000	radar	2.2294	
1477010455600000	lidar	0.574627	
1477010455650000	radar	0.252115	
1477010455700000	lidar	2.24119	
1477010455750000	radar	2.29038	
1477010455800000	lidar	2.90999	
1477010455850000	radar	1.10777	
1477010455900000	lidar	0.521045	
1477010455950000	radar	4.02425	
1477010456000000	lidar	0.0137234	
1477010456050000	radar	0.820455	
1477010456100000	lidar	1.45812	
1477010456150000	radar	0.205557	
1477010456200000	lidar	0.821784	
1477010456250000	radar	3.96471	
1477010456300000	lidar	1.89149	
1477010456350000	radar	0.711173	
1477010456400000	lidar	4.61494	
1477010456450000	radar	0.956638	
1477010456500000	lidar	3.9267	
1477010456550000	radar	5.36711	
1477010456600000	lidar	1.47663	
1477010456650000	radar	5.4202	
1477010456700000	lidar	1.61793	
1477010456750000	radar	4.02866	
1477010456800000	lidar	3.04876	
1477010456850000	radar	5.34806	
1477010456900000	lidar	1.20984	
1477010456950000	radar	2.6927	
1477010457000000	lidar	1.14984	
1477010457050000	radar	4.18146	
1477010457100000	lidar	0.505054	
1477010457150000	radar	3.03243	
1477010457200000	lidar	0.468887	
1477010457250000	radar	1.12189	
1477010457300000	lidar	2.5515	
1477010457350000	radar	0.230792	
1477010457400000	lidar	1.39582	
1477010457450000	radar	4.4499	
1477010457500000	lidar	4.94622	
1477010457550000	radar	0.474547	
1477010457600000	lidar	0.439945	
1477010457650000	radar	0.375822	
1477010457700000	lidar	1.20577	
1477010457750000	radar	2.60072	
1477010457800000	lidar	0.294745	
1477010457850000	radar	4.37045	
1477010457900000	lidar	1.62003	
1477010457950000	radar	0.440017	
1477010458000000	lidar	0.25144	
1477010458050000	radar	7.10007	
1477010458100000	lidar	6.03784	
1477010458150000	radar	0.89217	
1477010458200000	lidar	0.388472	
1477010458250000	radar	6.63434	
1477010458300000	lidar	0.579903	
1477010458350000	radar	1.10881	
1477010458400000	lidar	3.12196	
1477010458450000	radar	2.01555	
1477010458500000	lidar	3.21748	
1477010458550000	radar	1.37872	
1477010458600000	lidar	3.51992	
1477010458650000	radar	2.05628	
1477010458700000	lidar	3.70938	
1477010458750000	radar	2.50659	
1477010458800000	lidar	1.07933	
1477010458850000	radar	2.27226	
1477010458900000	lidar	2.37686	
1477010458950000	radar	2.24719	
1477010459000000	lidar	3.37191	
1477010459050000	radar	2.47842	
1477010459100000	lidar	2.2439	
1477010459150000	radar	4.19823	
1477010459200000	lidar	0.743409	
1477010459250000	radar	2.71667	
1477010459300000	lidar	0.628595	
1477010459350000	radar	0.25631	
1477010459400000	lidar	1.83273	
1477010459450000	radar	4.45084	
1477010459500000	lidar	5.2666	
1477010459550000	radar	1.89887	
1477010459600000	lidar	2.1149	
1477010459650000	radar	2.26868	
1477010459700000	lidar	0.505101	
1477010459750000	radar	5.248	
1477010459800000	lidar	1.37392	
1477010459850000	radar	7.91616	
1477010459900000	lidar	0.515409	
1477010459950000	radar	1.68776	
1477010460000000	lidar	0.192103	
1477010460050000	radar	0.706301	
1477010460100000	lidar	2.44402	
1477010460150000	radar	1.68944	
1477010460200000	lidar	0.272365	
1477010460250000	radar	3.98572	
1477010460300000	lidar	2.9365	
1477010460350000	radar	1.13699	
1477010460400000	lidar	1.23597	
1477010460450000	radar	4.93559	
1477010460500000	lidar	15.4445	
1477010460550000	radar	1.5287	
1477010460600000	lidar	0.735638	
1477010460650000	radar	2.32274	
1477010460700000	lidar	1.67951	
1477010460750000	radar	1.82137	
1477010460800000	lidar	2.52566	
1477010460850000	radar	6.72796	
1477010460900000	lidar	0.629382	
1477010460950000	radar	1.88247	
1477010461000000	lidar	1.04102	
1477010461050000	radar	1.08982	
1477010461100000	lidar	4.8073	
1477010461150000	radar	3.52666	
1477010461200000	lidar	1.95262	
1477010461250000	radar	1.75731	
1477010461300000	lidar	0.759191	
1477010461350000	radar	0.898383	
1477010461400000	lidar	2.4003	
1477010461450000	radar	1.91041	
1477010461500000	lidar	3.07015	
1477010461550000	radar	3.45595	
1477010461600000	lidar	5.67683	
1477010461650000	radar	0.324866	
1477010461700000	lidar	2.4811	
1477010461750000	radar	1.86314	
1477010461800000	lidar	0.439437	
1477010461850000	radar	1.32017	
1477010461900000	lidar	0.526987	
1477010461950000	radar	6.4538	
1477010462000000	lidar	0.706468	
1477010462050000	radar	0.219418	
1477010462100000	lidar	0.450458	
1477010462150000	radar	11.0454	
1477010462200000	lidar	2.1006	
1477010462250000	radar	3.5424	
1477010462300000	lidar	4.50558	
1477010462350000	radar	0.518896	
1477010462400000	lidar	1.37676	
1477010462450000	radar	1.38762	
1477010462500000	lidar	5.74015	
1477010462550000	radar	0.995672	
1477010462600000	lidar	1.34173	
1477010462650000	radar	1.98999	
1477010462700000	lidar	1.10983	
1477010462750000	radar	1.71451	
1477010462800000	lidar	0.10303	
1477010462850000	radar	5.19025	
1477010462900000	lidar	0.452183	
1477010462950000	radar	2.20837	
1477010463000000	lidar	2.55266	
1477010463050000	radar	1.75183	
1477010463100000	lidar	1.89014	
1477010463150000	radar	1.7603	
1477010463200000	lidar	3.3343	
1477010463250000	radar	7.25037	
1477010463300000	lidar	0.0751401	
1477010463350000	radar	8.13611	
1477010463400000	lidar	0.220162	
1477010463450000	radar	0.227603	
1477010463500000	lidar	0.713097	
1477010463550000	radar	0.774798	
1477010463600000	lidar	0.120985	
1477010463650000	radar	2.91753	
1477010463700000	lidar	1.73508	
1477010463750000	radar	2.14828	
1477010463800000	lidar	0.144782	
1477010463850000	radar	1.10934	
1477010463900000	lidar	3.74323	
1477010463950000	radar	0.614615	
1477010464000000	lidar	2.00843	
1477010464050000	radar	8.94786	
1477010464100000	lidar	0.443106	
1477010464150000	radar	2.30873	
1477010464200000	lidar	0.914961	
1477010464250000	radar	0.949378	
1477010464300000	lidar	1.23509	
1477010464350000	radar	3.19708	
1477010464400000	lidar	0.0507244	
1477010464450000	radar	4.7833	
1477010464500000	lidar	0.125053	
1477010464550000	radar	1.8798	
1477010464600000	lidar	4.20557	
1477010464650000	radar	5.54498	
1477010464700000	lidar	1.0947	
1477010464750000	radar	1.53473	
1477010464800000	lidar	0.276046	
1477010464850000	radar	2.6499	
1477010464900000	lidar	2.14744	
1477010464950000	radar	5.80177	
1477010465000000	lidar	0.13214	
1477010465050000	radar	1.59749	
1477010465100000	lidar	4.39976	
1477010465150000	radar	6.47169	
1477010465200000	lidar	3.07846	
1477010465250000	radar	4.35538	
1477010465300000	lidar	1.41983	
1477010465350000	radar	1.84582	
1477010465400000	lidar	0.575914	
1477010465450000	radar	1.47805	
1477010465500000	lidar	0.697981	
1477010465550000	radar	4.35503	
1477010465600000	lidar	5.99868	
1477010465650000	radar	1.66834	
1477010465700000	lidar	0.800801	
1477010465750000	radar	5.955	
1477010465800000	lidar	3.95058	
1477010465850000	radar	2.88205	
1477010465900000	lidar	1.81809	
1477010465950000	radar	0.526553	
